=HYPERLINK("https://www.youtube.com/watch?v=rGFG56tqrB0", "[Private video]")
=HYPERLINK("https://www.youtube.com/watch?v=GHS6E6DQDuI", "EP296 我該放棄穩定低薪正職，從事不穩定但高時薪的接案工作嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=l3VHy-U5h2o", "EP295 能走直線何必選擇彎路？別用「循序漸進、按部就班」來當作你「欠缺勇氣」的藉口！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kI3Gbasj2nk", "EP294 如何開一場有效率且讓老闆滿意的會議？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=NsW4woX7g6I", "EP293 #職業大百科：如何形塑自己的數位形象，才能在人才市場中脫穎而出？獵頭給你的 #求職建議｜Adecco 台灣暨南韓總經理 陳玉芬｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=IZe20Rotr1w", "EP292 老僑的職業大百科：動畫技術只是起點，「讀懂人心」才能創造感動｜《獅子王》#3D動畫師 Cara專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=cM-Hm4sWqS8", "EP291 這世界不需要你天賦異稟，只要凡事習慣 #多想一步，就足以讓你 #鶴立雞群｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=B0QXLJZ5uHo", "EP290 現實因素並非感情殺手！過去相處的不愉快，才是難以挽回的致命傷｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=EjBx39zQ500", "EP289 派系不一定是壞事，反而可能是推動公司革新的基礎｜企業管理顧問 李君婷 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=o8EF1s5N3zE", "EP288 付出了那麼多，為何你不感動？無法回報的心意，造就相愛相殺的痛苦循環｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=c1MFrhklx6A", "EP287 為什麼一腔熱血地推動改革，最後往往滿腹委屈！懂人性、有謀略，夠柔軟，才能引領大家前進！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nQpNnwlvX4A", "EP286 該不該 #FIRE 朋友介紹來的員工？身為老闆或主管你可以這樣思考｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Us_QxNghPug", "EP285 布萊恩的職業大百科：把受傷的自己練得更強，重回賽場｜運動防護員 林霈群 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=KPnP054W1-8", "EP284 喜歡的工作不是等來的，你必須先證明自己的能力｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OSajcbHleQ0", "EP283 多結交「不談戀愛的異性朋友」是你戀愛成功的關鍵｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=K4QKCVQ7dOE", "EP282 感情想走得長遠，要找到一個「#好人」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=2E-W73QhB0A", "EP281 「不去想如何做大，只在意如何做好」百萬創作者的自媒體經營心法 feat. @shasha77.podcast ｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=TJ6Z-pHVlxA", "EP280 大人世界裡沒有「好人」與「壞人」，只有自私的人｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=h7sFZTb6z3c", "EP279 想要擁有美好的職場 #人際關係，就要培養社交應酬的技能？錯！掌握「#職場」的核心本質才是重點！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=iRcQ6Mxe2LM", "EP278 愛情中的「羞辱創傷」：學會面對拒絕，才能好好去愛｜諮商心理師 #周慕姿 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=eQaC6W70he0", "EP277 布萊恩的職業大百科：#創投 最關鍵的能力是「讀人」｜Taiwan Global Angels 創辦人 #詹益鑑 博士 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Y7AXmZXmFl8", "SP 線上課程開發大解密｜大人學 X 聲藝上門 feat. 歐馬克 @dearmarcy ｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=tRWXE7GrekM", "EP276 老闆心思翻譯機：當老闆問「有沒有問題需要幫忙」，你該怎麼答？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=OiRCTsry9Wg", "EP275 追逐物慾就等於玩物喪志嗎？不一定，只要具備健康心態，「昂貴的興趣」也可以讓你的人生更加勵志！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=qWkW017dFYE", "EP274 言語沒有那麼傷，除非你相信它——關於深埋心中的那些「羞辱創傷」｜諮商心理師 周慕姿 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=F17PxJpWeJ4", "EP273 不搞辦公室政治也能在職場生存的方法｜管理顧問 張敏敏 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mXDrdKrmGLI", "EP272 爸媽跟我借錢該給嗎？「孝順」不是無限付出，以關心破解親情困境｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=D0HRxzGCJsI", "EP271 我都這麼客氣了為什麼對方還是拒絕我？因為你高估了「和善」的價值，低估了「互惠」的重要！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=STKftrMR6T8", "EP270 你的努力沒被看見，就根本沒有價值｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=t6O93rPtqwc", "EP269 #大人的品味：為什麼很多女生都愛精品包？它的魅力與價值該怎麼看？｜品牌視覺陳列師 Jackie 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=yGsN4qufNZc", "EP268 畢業後如何跨出第一步？給焦慮新鮮人的求職建議｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=w6t4QT6b3Jg", "EP267 一生至少嘗試一次，當個連自己都害怕的「狠人」吧！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WT8UaUMit1Y", "EP266 計畫趕不上變化？五招錦囊妙計助你應對風險、不再慌亂｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=evqV300nM9Y", "EP265 不給回饋的主管「最殘忍」？透過正確的回饋累積團隊信任感｜企業管理顧問 李君婷 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=6L60EESk04k", "EP264 大師之路與平庸之路的差異：卡住人生的認知陷阱｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=FAwmvbe8xBE", "EP263 創業毀我三觀：聊聊創業之後，顛覆我原本認知的幾個觀念｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=C37XjCMIWmk", "EP262 覺得自己的工作處處受限？認識公司的 #現金流，辨識自己職位的重要性｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=hoaRrT09jtM", "EP261 「溝通」總是帶有目的？認識溝通的隱性目標，為你帶來真摯的 #人際關係｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=oOPDl1Jvmt0", "EP260 職涯卡關想 #轉職？搞清楚你和 #夢想 之間還有多少坑要填｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=6aQd5nGsYMI", "EP259 #大人的品味：用香水為你的第一印象加分！給初學者的香水入門指南｜品牌視覺陳列師 Jackie 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=h0YUuXuuR5o", "EP258 獨行俠在職場能不能生存？內向的你，需要找到融入人群的社交開關｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=m8WkVtHSQs4", "EP257 周星馳電影金句給布萊恩的啟發！你最喜歡哪一句？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=S5Qhx9bl0Qs", "EP256 另一半想查我的手機！我該讓他看嗎？又該怎麼處理對方的不安全感？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=LIYwmV_SVkI", "EP255 沒有綠卡，不曾留學，也能獲得國外正職工作的方法｜《普通人的海外求職指南》作者 Aaron 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=HFJ0K-DjmCc", "EP254 一旦想改變自己去配合職位，那你的人生可能就走錯路了｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=hu5DWF-Br7w", "EP253 「#信任」才是金錢的本質，想要累積財富就要先累積信任｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=GIOmQMsadqA", "EP252 為什麼貨幣會貶值？比特幣能對抗通貨膨脹嗎？上班族不得不做的理財策略｜李柏鋒 台灣ETF投資學院創辦人 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=POEaEwdO9Mk", "EP251 面對重要抉擇難以取捨？先創造三個以上的選項再說！別被「跳蚤效應」框住了自己！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=V3UQtUD7xfg", "EP250 人生夢想就是「當條鹹魚」？那你也得先做到這件事｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=vr7SN1XBQQ0", "EP249 只花四個月備考就上榜！公務員考試技巧大公開｜陪考教練 小歐 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=N2akd7I5Lx8", "EP248 今天不讀靈魂腳本，來聊聊「如何成為#諮商心理師」｜#周慕姿 諮商心理師 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mhDQep5Yp7c", "EP247 經營公司15年，最重要的體悟也不過是這三件事！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PFpKJRdW0Kw", "EP246 別努力三五年，最後連渣都沒有留下——亞馬遜和外送員給我們的反思｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=u71iRlsI8ck", "EP245 從土木工程師當選市議員，還成為 #美國市長，一位宜蘭囝仔的奇妙旅程｜KOA工程總裁 林錫智 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=TbI6JhCNnzk", "EP244 通膨什麼都在漲，為什麼就薪水不漲？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rcUvYpQbJpw", "EP243 #布萊恩的職業大百科：如果可以對世界有所貢獻，你願意從哪裡開始？在非營利組織工作是什麼樣子｜Teach For Taiwan 永續長 杜瀛 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3CbcB-bxYMA", "EP242 身體的疲憊會恢復，情緒勞務造成的負擔，卻可能永遠都在｜#周慕姿  諮商心理師 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=gVw0UoqX4fQ", "EP241 熱心助人絕不是一股腦地付出。教你一個訣竅，聰明給予，才能彼此Happy！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=6yY_IoGfPSI", "EP240 #創業 不想要增長，不如回去上班｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3U9Uiwq9IXY", "EP239 為什麼你必須懂得看財報？負債千萬、四年翻身，從日常培養出的超級數字力！｜國際級講師 MJ林明樟 專訪｜大人的Small Talk @MJ-finance")
=HYPERLINK("https://www.youtube.com/watch?v=DpqVhl3jvPc", "EP238 想轉職成專案經理？在這之前請先理解兩件事！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=QzOLVnp9BoY", "EP237 職場究竟有沒有真友誼？｜企業管理顧問 李君婷 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ycvb-5hd33Q", "EP236 團隊合作的秘訣之一：不要把公平看得這麼重要｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=93mWg_CJhsI", "EP235 就算你真的財富自由，也未必會如你想像地快樂。聽聽諾貝爾獎得主康納曼博士怎麼說｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=S46_jIhM8RA", "EP234 社交令你心神疲憊？內向者曾遇過的困擾二三事｜諮商心理師 許庭韶 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=meHfAZGBAV8", "EP233 越是做好事，你越要謹慎計畫，有勇有謀！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ntkOCPkU4Vo", "EP232 如何讓別人不討厭自己？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MrrSeDd_xM0", "EP231 布萊恩的 #職業大百科：把興趣當飯吃不是不行，但你得做好心理準備｜形象照攝影師 雪糕人 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=d79kLFBoa30", "EP230 被競爭公司挖角，我該跳槽嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=f8LCmOMuFAc", "EP229 想找到適合自己的 #人生目標？從認識自己的大腦開始｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=_ENLrLKbRrk", "EP228 別只想當清流，在職場你應該掌握八卦的能力！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=TMp3N7OndaI", "EP227 英文要多好才能進外商？面試時「簡單好用 vs 千萬別用」的字！｜企業語言訓練師 陳湘陽 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Eqyt9c9BUTY", "EP226 遠距戀愛：關係不是怎麼維繫，而是你多想維繫｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=GYAzf0Mkmu4", "EP225 如果無法消除煩惱，至少把它放在對的地方！今天我想來點實用的斯多葛哲學！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PnRAlGXWr6k", "EP224 給剛到職的你：判斷一間公司能不能待的兩個指標｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=8FztghLOyxk", "EP223 布萊恩的職業大百科：別因為性別限制自己選擇職業的機會｜#美光科技 主管 Milan & Cara 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=2fNI1Wf9CEM", "EP222 來聊聊對女生人生影響「最巨大」的那個決策吧！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=6sGzXVaqWag", "EP221 原來生活處處是設計！從「設計」角度看各產業的「服務旅程」｜體驗設計師 姚詩傑 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=I8DX5TlbhRw", "EP220 明明領基層的薪水，老闆卻要我用上位者的方式思考？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=oDGEzSPzAFc", "EP219 #職場柯南：我該繼續待在公家單位，還是離職去民間企業？這問題其實有標準解答！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=7yTfJNS2SYU", "EP218 如何與亞斯傾向的伴侶好好相處？有時候你需要的不是將心比心｜大人的Small Talk｜專訪 精神科醫師 @drmdy")
=HYPERLINK("https://www.youtube.com/watch?v=DfTa2VkqJco", "EP217 不卑不亢向老闆表達意見，是你職涯最重要的修練！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WwyuLXj46fY", "EP216 #新年目標 做不到，往往是你一開始界定目標的方式就不對｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Wc9NHYfY5uA", "EP215 影響我職涯最大的外掛技能 — #銷售能力｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=0fJPoBLunpU", "EP214 「#專案管理」怎麼學？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Jzmh_3So2-Y", "EP213 你不必因為嫉妒別人而感到羞愧——談談羨慕與嫉妒的差別｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WrNZuwVNKcI", "EP212 想得多不是悲觀，對人生無能為力的放棄才是悲觀｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rDXJuSiC5Jk", "EP211 哪種 #時間管理 方法最有效？不花你太多時間的那種！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=QhQB3CCIMDY", "EP210 「你竟敢用我的咒語來對付我？」抱怨，只是給敵人更多武器攻擊你｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ymWjZEvrV9w", "EP209 布萊恩的職業大百科：外商主管的職場哲學「問題的答案就在自己的嘴巴上！」｜Dell TDC董事總經理 葉怡亨 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kAv1qWnxbb4", "EP208 時間該用來增強自己的長處，還是補足自己的短處？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=I03nI_w6_zA", "EP207 輸在起跑點怎麼辦？人生不是百米賽跑，而是在專屬於你的道路上前行｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9ggh3MRplvU", "EP206 挽回戀情的最後機會，往往被直覺給搞砸 ｜《換乘戀愛》案例解析 (下)｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=mgT67LoIAuA", "EP205 不知道自己喜歡什麼工作嗎？或許你可以先從尋覓「族人」開始！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3lXX3vwYVqI", "EP204 關於工作選擇：與其討論擅不擅長，不如談談 #天賦與熱情｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=jfEh6zfPKBc", "EP203 求好心切反倒不如人願？換個心態面對工作，反而表現更好！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=T3dIC66Q8WU", "EP202 戀愛從來不是一分耕耘一分收獲｜《換乘戀愛》案例解析 (上)｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=pc_1bB33ErQ", "EP201 #職場柯南：為什麼每次面試官明明很喜歡我，到職後直屬主管卻很討厭我？真相可能不只一個！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=xqXSjDd3ia8", "EP200 談談我們對「個人品牌」與「斜槓」的看法｜Joe和Bryan首度同台？不只是閒聊的特輯｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=nTWrn_fsCdM", "EP199 「以和為貴」確實很好，但真實地表達自我也要兼顧！聊聊我對於「情緒表達」的感悟！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Xvh-yU3IAtk", "EP198 何時才是講真話的好時機？拉不下臉向人求助怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=-d57EEV3qLM", "EP197 布萊恩的職業大百科：當 #企業講師 真的有那麼好嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WDeaO4vKpVY", "EP196 和異性互動好困難？一招教你客觀分析問題出在哪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=oe9HKe_o32g", "EP195 調整快樂的基準線，從自己到他人，學會貢獻讓你更快樂｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=KEuelnZkmIw", "EP194 關於生與死、愛與性：我是生來聆聽，而非評論這個世界｜節目主持人 曾寶儀 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=BQNTSdTvYps", "EP193 新手機發布後舊手機就特別容易摔到？剛洗完車立馬就會下雨？「因果謬誤」為什麼發生？還有你該怎麼運用！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=aJhYYctB_-w", "EP192 在職時間的長短，真的重要嗎？要撐多久履歷才會好看？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=rrhYs6S5veU", "EP191 不要用別人現在的成就，來要求剛起步的自己｜敏迪選讀 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=US9CcHwb3t8", "EP190 覺得自己德不配位？#冒牌者症候群 的解方｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=MdlcGAnny5Y", "EP189 那些年我遇過的奇人怪事，附上如何應對無理冒犯的小撇步！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Xm7NQ-5hV_A", "EP188 人當然要為錢工作，但你不能「只為錢」工作｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=e8SdAjOKx68", "EP187 布萊恩的職業大百科：半導體外商新人的訓練計劃就是環遊世界？！｜ASML資深協理 Jalen Lin專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=kaESv1hAQ2o", "EP186 #入錯行 就只能砍掉重練？如何評估部門的發展機會？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=0m_Rq0SWZA0", "EP185 從「定型心態」到「成長心態」，和你分享改變心態後，我不一樣的人生｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9_O0ApLyh7I", "EP184 我是不是太過小心翼翼？個性謹慎是不是一個問題？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=N_kbkVQe6VY", "EP183 想讓生活更舒心？也許你該讀讀「哲學」與「天文學」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=yEIsf-oCyjM", "EP182 如何不再被父母框住自己的夢想？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Ez3sW2soUb8", "EP181 布萊恩的職業大百科：顧問業在做什麼？續集 成為顧問的3項必備條件｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=YL_EUDU3Kc0", "EP180 你以為是雙方「溝通」出了問題？但其實根本不是溝通的問題！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=VvseqwC2Tl0", "EP179 你看那麼多書，上那麼多課，真的「有用」嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=5s8RcpeUk50", "EP178 如果不想上火星，你就別去SpaceX—公司，應該是實現你夢想的地方｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=azbp033QO4g", "EP177 布萊恩的職業大百科：顧問業在做什麼？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9tZq6tWdFwM", "EP176 面試時說自己的興趣是學習，可能才是最先被刷掉的人｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=x58PBXWHXBs", "EP175 你常覺得自己不夠優秀、比不上別人而感到焦慮嗎？關於「比較」這件事，我想跟你分享我的經歷！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3zN8h3X-lLY", "EP174 #直言不諱 相談室：有名無權的我，該如何管理自視甚高的老員工？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=xZEbWFBiXN4", "EP173 我的老闆好難搞—職場重要的不是決策，而是決策背後的動機 ft.顧問講師 張敏敏｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=0kESoVx1NA8", "EP172 #大人的公平，重點在於「一致性」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=W_2RkcLu-E4", "EP171 還沒找到有熱情的工作嗎？建議你可以先做這幾件事！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=82YgWq8wwSA", "EP170 Netflix前人才長：「常換工作的人表現更出眾。」我該效仿嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Uc08YZwnPYY", "EP169 台灣太太好吃驚？！英國人妻的職場放大鏡｜專欄作家 讀者太太 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=5XW8TRK1cGg", "EP168 別抱怨公司制度不公平，職場的「公平」和你想的不一樣｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WcZiLDLc4tg", "EP167 擺脫「好人與壞人」的二元思維，你才開始變成真正的大人｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=IE33t6y5aiA", "EP166 那些優質對象都跟我無緣？你可以試著這樣建立自信｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ziBuhwCdbL8", "EP165 與人說話就像投資：沉默不會讓你賠錢，但也無法讓你「開緣」｜企業公關經理 蔡祐吉 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=ym8E7rJzmBY", "EP164 工作時被說講話沒重點，怎麼辦？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Ke5DMrW9eFM", "EP163 布萊恩的閱讀筆記：如何 #選書 與讀完之後該做的事｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=3ZXAqj6AqjY", "EP162 丟掉讓你焦慮的雜訊，從走出 #同溫層 開始｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=8lq5ti0wKw8", "EP161 布萊恩的財商筆記：20年投資，30萬慘賠，100本閱讀，關於財富我學到最重要的幾件事｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=tiT30bZBP8s", "EP160 別只會說一嘴好夢想——你看到它酷酷的一面時，考慮過背後的代價嗎？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=UTJk-DT75Y8", "EP159 你是真的不想要，還是 #害怕做不到？自命清高講幹話不會讓你的人生更好！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Fn3sPFWLO88", "EP158 #在家工作 無法拓展人脈？先來思考「#人脈的本質」是什麼｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WmEJ_Kuzk7c", "EP157 為什麼別人總是看不見我的 #專業？或許是因為你不懂得掌握「#話語權」｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=YB489WZFl_k", "EP156 關於 #人生的遊戲規則—有些錯誤你該嘗試，有些則萬萬不可出差錯｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=PoBMWdQmCfA", "EP155 戰國策教你：#遇到難題時 先別急著說「#做不到」，試著繞道而行，反而迎刃而解！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9iXZSihIN0Y", "EP154 「為人直接」不是講話傷人的藉口！大人都該懂的得體說話術｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=KHVFOF2fXJ8", "EP153 文組也能當 #數位產品經理？年薪千萬的PM養成之路！｜前Facebook產品經理 #矽谷阿雅 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Gr8omev2m3U", "EP152 父母關係的矛盾——我會焦慮，因為我不想看你變老的樣子｜精神科醫師 #鄧惠文 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=9Gv5FKVLYlA", "EP151 關於調適：不認同 #家人 的觀念，但難以改變？不喜歡現在的工作，又捨不得離開？｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=--zIETnOVNs", "EP150 主動不等於追求，而是能在對方心中「#更特別一點」｜大魔王的戀愛人類學筆記 張玉琦 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=XmpYNYhiMpw", "EP149 你真的擁有「#團隊精神」嗎？請先做到「拋下 #自尊， #適時求救」吧！｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=xYwVYtmayMw", "EP148 提出 #完美方案 老闆還是不滿意？可能你搞錯了 #做事的順序｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=b5sZtKvTRB8", "EP147 #紐約 像一條「穿很久都沒洗的牛仔褲」？！那些海外生活對我帶來的改變 feat. 劉軒的How to人生學｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=Y46_5hTJaes", "EP146 #降低風險 的私藏小物：小小成本讓你東西不弄丟｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=QSiWeZJAKzY", "EP145 #台積電 生活大揭密！#工程師 的職涯經營指南 ｜企業顧問 彭建文 專訪｜大人的Small Talk")
=HYPERLINK("https://www.youtube.com/watch?v=WXhY9z6AWi0", "EP144 「#白目」是怎麼鍊成的？不想被當白目，請別做這三件事｜大人的Small Talk")
